,Year Code,County,Deaths,Population,Crude Rate
425,1999,"Columbia County, GA",,88280.0,
426,1999,"Cook County, GA",0.0,15563.0,0.0
427,1999,"Coweta County, GA",,86837.0,
428,1999,"Crawford County, GA",0.0,12369.0,0.0
429,1999,"Crisp County, GA",,21895.0,
430,1999,"Dade County, GA",,15029.0,
431,1999,"Dawson County, GA",0.0,15203.0,0.0
432,1999,"Decatur County, GA",0.0,28063.0,0.0
433,1999,"DeKalb County, GA",37.0,656625.0,5.63487530934704
434,1999,"Dodge County, GA",0.0,19139.0,0.0
435,1999,"Dooly County, GA",,11461.0,
436,1999,"Dougherty County, GA",13.0,96199.0,13.513653988087194
437,1999,"Douglas County, GA",,90955.0,
438,1999,"Early County, GA",,12311.0,
439,1999,"Echols County, GA",,3553.0,
440,1999,"Effingham County, GA",0.0,36838.0,0.0
441,1999,"Elbert County, GA",,20425.0,
442,1999,"Emanuel County, GA",,21784.0,
443,1999,"Evans County, GA",0.0,10289.0,0.0
444,1999,"Fannin County, GA",,19443.0,
445,1999,"Fayette County, GA",,89342.0,
446,1999,"Floyd County, GA",,89659.0,
447,1999,"Forsyth County, GA",,93244.0,
448,1999,"Franklin County, GA",,20021.0,
449,1999,"Fulton County, GA",79.0,807365.0,9.784917602323608
450,1999,"Gilmer County, GA",,22357.0,
451,1999,"Glascock County, GA",,2562.0,
452,1999,"Glynn County, GA",,67426.0,
453,1999,"Gordon County, GA",,43354.0,
454,1999,"Grady County, GA",,23568.0,
455,1999,"Greene County, GA",,14199.0,
456,1999,"Gwinnett County, GA",18.0,567569.0,3.1714205673671394
457,1999,"Habersham County, GA",0.0,35196.0,0.0
458,1999,"Hall County, GA",,134781.0,
459,1999,"Hancock County, GA",,10021.0,
460,1999,"Haralson County, GA",,25301.0,
461,1999,"Harris County, GA",0.0,23382.0,0.0
462,1999,"Hart County, GA",,22754.0,
463,1999,"Heard County, GA",0.0,10737.0,0.0
464,1999,"Henry County, GA",,113011.0,
465,1999,"Houston County, GA",,109216.0,
466,1999,"Irwin County, GA",0.0,9793.0,0.0
467,1999,"Jackson County, GA",,40445.0,
468,1999,"Jasper County, GA",0.0,11177.0,0.0
469,1999,"Jeff Davis County, GA",0.0,12609.0,0.0
470,1999,"Jefferson County, GA",0.0,17342.0,0.0
471,1999,"Jenkins County, GA",0.0,8510.0,0.0
472,1999,"Johnson County, GA",0.0,8551.0,0.0
473,1999,"Jones County, GA",0.0,23437.0,0.0
474,1999,"Lamar County, GA",,15593.0,
475,1999,"Lanier County, GA",,7170.0,
476,1999,"Laurens County, GA",,44573.0,
477,1999,"Lee County, GA",,24335.0,
478,1999,"Liberty County, GA",0.0,61987.0,0.0
479,1999,"Lincoln County, GA",0.0,8313.0,0.0
480,1999,"Long County, GA",0.0,10108.0,0.0
481,1999,"Lowndes County, GA",,91472.0,
482,1999,"Lumpkin County, GA",,20547.0,
483,1999,"McDuffie County, GA",,21212.0,
484,1999,"McIntosh County, GA",0.0,10625.0,0.0
485,1999,"Macon County, GA",,14029.0,
486,1999,"Madison County, GA",,25334.0,
487,1999,"Marion County, GA",,7020.0,
488,1999,"Meriwether County, GA",,22502.0,
489,1999,"Miller County, GA",0.0,6399.0,0.0
490,1999,"Mitchell County, GA",,23615.0,
491,1999,"Monroe County, GA",,21430.0,
492,1999,"Montgomery County, GA",0.0,8215.0,0.0
493,1999,"Morgan County, GA",,15274.0,
494,1999,"Murray County, GA",,35495.0,
495,1999,"Muscogee County, GA",12.0,185734.0,6.460852617183714
496,1999,"Newton County, GA",,59506.0,
497,1999,"Oconee County, GA",,25637.0,
498,1999,"Oglethorpe County, GA",0.0,12312.0,0.0
499,1999,"Paulding County, GA",,77863.0,
500,1999,"Peach County, GA",,23348.0,
501,1999,"Pickens County, GA",0.0,21840.0,0.0
502,1999,"Pierce County, GA",0.0,15387.0,0.0
503,1999,"Pike County, GA",,13312.0,
504,1999,"Polk County, GA",,37812.0,
